id,title,download,downtxt,image,publishtime,type,area,director,actor,comment,link,redirect
2ab4c364d429fd24e3ed03011bf8aaf6,图书馆战争2：最后的任务[720p]迅雷下载,"http://pan.baidu.com/s/1slOhOIx,http://pan.baidu.com/s/1mieqOLq","【1.43G】图书馆战争2：最后的任务.BD1280高清日语中字.mp41(百度网盘下载 密码：x5ac),【2.26G】图书馆战争2：最后的任务.BD1280超清日语中字.mp41(百度网盘下载 密码：e55u)",img/2ab4c364d429fd24e3ed03011bf8aaf6.jpg,2015,动作,日本,佐藤信介,"冈田准一,荣仓奈奈,田中圭,福士苍汰,西田尚美",NULL,http://www.xunleitai.com/dzuo/tushuguanzhanzheng2zuihouderenwu720p/,http://www.xunleitai.com/top/all.html
5cb0e75df75e115c53dc2f876cfe06fe,治外法权[720p]迅雷下载,"http://pan.baidu.com/s/1bpuil3L,http://pan.baidu.com/s/1nuX3kN3","【1.12G】治外法权.HD1280高清韩语中字.mp41(百度网盘下载 密码：frck),【2.11G】治外法权.HD1280超清韩语中字.mp41(百度网盘下载 密码：nve8)",img/5cb0e75df75e115c53dc2f876cfe06fe.jpg,2015,动作,韩国,申东烨,"任昌丁,崔丹尼尔,张光,林恩京,李璟荣,郑涵妃",NULL,http://www.xunleitai.com/dzuo/zhiwaifaquan720p/,http://www.xunleitai.com/top/all.html
d4862f63a01a3ef4bc2f42b14ae8a9d3,狼的诱惑[国配]迅雷下载,http://pan.baidu.com/s/1b6fekY,"【529M】狼的诱惑HD国语中字.mkv1(百度网盘下载 密码：44lf)",img/d4862f63a01a3ef4bc2f42b14ae8a9d3.jpg,2004,动作,韩国,金泰均,"姜东元,赵汉善,李清娥,郑多慧,金应洙,洪智英",NULL,http://www.xunleitai.com/dzuo/langdeyouhuoguopei/,http://www.xunleitai.com/top/all.html
44e9f9daf370cc56e9417c7737b78d31,全境封锁：特工起源[720p]迅雷下载,http://pan.baidu.com/s/1c1Bmfc,"【676M】全境封锁：特工起源.HD1280超清英语中字.mp41(百度网盘下载 密码：mbe1)",img/44e9f9daf370cc56e9417c7737b78d31.jpg,2016,动作,欧美,德文·格雷厄姆,"Matt Lynch,Sasha Andreev,Amanda Day",NULL,http://www.xunleitai.com/dzuo/quanjingfengsuotegongqiyuan720p/,http://www.xunleitai.com/top/all.html
ad8b61f063ef664c2de5a0bb4dc1b316,幸存者[国配]迅雷下载,http://pan.baidu.com/s/1jH1FNAQ,"【970M】幸存者BD国语配音中字1280高清.rmvb1(百度网盘下载 密码：qqg8)",img/ad8b61f063ef664c2de5a0bb4dc1b316.jpg,2015,动作,欧美,詹姆斯·麦克特格,"米拉·乔沃维奇,皮尔斯·布鲁斯南,迪伦·麦克德莫特",NULL,http://www.xunleitai.com/dzuo/xingcunzheguopei/,http://www.xunleitai.com/top/all.html
096f8e532f9467b965af748e74e7b6ba,星球大战：原力觉醒迅雷下载,,,img/096f8e532f9467b965af748e74e7b6ba.jpg,2015,动作,欧美,J·J·艾布拉姆斯,"哈里森·福特,马克·哈米尔,凯丽·费雪,亚当·德赖弗",NULL,http://www.xunleitai.com/dzuo/xingqiudazhanyuanlijuexing/,http://www.xunleitai.com/top/all.html
ea666f97d33fa7bbb99ca3b17fd675e2,反黑行动组[720p]迅雷下载,"http://pan.baidu.com/s/1kUhZV6Z,http://pan.baidu.com/s/1botf0Rl","【1.07G】反黑行动组.BD1280高清法语中字.mp41(百度网盘下载 密码：tlu6),【1.87G】反黑行动组.BD1280超清法语中字.mp41(百度网盘下载 密码：hsad)",img/ea666f97d33fa7bbb99ca3b17fd675e2.jpg,2015,动作,欧美,"Benjamin Rocher,","让·雷诺,卡特琳娜·莫里诺,蒂埃里·钮维",NULL,http://www.xunleitai.com/dzuo/fanheixingdongzu720p/,http://www.xunleitai.com/top/all.html
c0574489f6db4022fc9f7e2d7f59e70f,战狼传说迅雷下载,"http://pan.baidu.com/s/1kTW4okR,http://pan.baidu.com/s/1bou1g3H","【1.05G】战狼传说.BD1280高清国粤双语中字.mp41(百度网盘下载 密码：au9o),【1.96G】战狼传说.BD1280超清国粤双语中字.mp41(百度网盘下载 密码：ofro)",img/c0574489f6db4022fc9f7e2d7f59e70f.jpg,1997,动作,香港,甄子丹,"李若彤,甄子丹,梁汉文,黄子华",NULL,http://www.xunleitai.com/dzuo/zhanlangchuanshuo/,http://www.xunleitai.com/top/all.html
650aaed034487306f11dc937853f44e4,三少爷的剑(电影)迅雷下载,,,img/650aaed034487306f11dc937853f44e4.jpg,2016,动作,大陆,尔冬升,"林更新,何润东,江一燕,蒋梦婕",NULL,http://www.xunleitai.com/dzuo/sanshaoyedejiandianying/,http://www.xunleitai.com/top/all.html
8ba60b92347c3e64c3732bba3e3f7f1a,双面女蝎星[国配]迅雷下载,http://pan.baidu.com/s/1HReMU,"【777M】双面女蝎星BD国语配音中字.mkv1(百度网盘下载 密码：acna)",img/8ba60b92347c3e64c3732bba3e3f7f1a.jpg,1993,动作,欧美,约翰·班德汉姆,布里吉特·芳达,NULL,http://www.xunleitai.com/dzuo/shuangmiannvxiexingguopei/,http://www.xunleitai.com/top/all.html
